PF,S_AST,S_TOV,S_BLK,game_count,FG_PCT_O,REB_O,PF_O,PTS_S_O,O_FGA_S_O,O_TRB_S_O,O_WIN_PCT,avg_conf_rank_ratio,matchtup_rank,wins_rank,PC4,game_series_away_D,conf_rank_wins_in_row_B,matchup_wins,stage,PC2,opp_game_vs_season,game_vs_opp_season,matchup_REB_r_s,MCA_0
17.0,21.18055555555556,13.13888888888889,6.263888888888889,3,0.478,50.0,22.0,116.1,87.1,42.3,0.732,0.564065934065934,54.84626666666668,22.374368670764582,2.1953217324069425,0,0,0.4,1,-11.577669729937561,2,0,42.0,-0.8044141205179323
24.0,22.98611111111111,13.819444444444445,5.638888888888889,16,0.429,40.0,20.0,107.3,86.7,42.5,0.589,0.9953903978441245,236.03621621621622,73.71281292110204,-0.21218831517678685,0,0,1.4324324324324325,3,0.07363560158243938,13,15,42.75,0.1931167634701172
29.0,25.27777777777778,17.458333333333332,6.833333333333333,10,0.506,50.0,29.0,100.9,82.3,41.4,0.598,1.1531278240787226,268.23720000000003,68.18376618407356,1.2569030556446967,0,0,1.6,2,0.13005379359280483,7,10,45.5,0.32445685334470126
28.0,24.11111111111111,13.375,4.569444444444445,5,0.384,49.0,21.0,93.3,82.3,41.4,0.61,1.5275919732441472,228.69257056451616,50.17691453623979,3.334051023740417,1,0,1.3911290322580645,1,-0.773069377438691,3,4,40.75,-0.04001509770038425
20.0,25.375,16.125,6.5,10,0.494,36.0,19.0,91.3,79.7,40.6,0.451,0.9444189983072787,229.12066666666664,89.0,5.105615512413191,0,0,1.3333333333333333,2,3.639665761240139,9,4,51.25,0.5351359749225408
20.0,23.84722222222222,15.63888888888889,6.486111111111111,8,0.416,47.0,24.0,88.8,77.1,38.3,0.537,1.5275919732441472,220.3009324596774,86.0,2.713065265368607,0,0,1.3911290322580645,2,5.948208929646611,7,3,41.75,0.8678426027065609
21.0,24.63888888888889,16.416666666666668,5.708333333333333,10,0.435,30.0,21.0,85.6,75.7,41.2,0.439,0.7918386535658878,213.66402586206897,96.0,-1.5692454728984246,0,0,1.2155172413793103,2,4.832183874457318,9,13,38.0,0.4431603943527534
30.0,20.65277777777778,15.458333333333334,4.694444444444445,8,0.528,37.0,26.0,96.6,77.5,40.2,0.61,0.6190476190476191,257.62149999999997,49.0,3.2654110597520734,0,0,1.5,2,-3.939594468875104,7,4,47.333333333333336,-0.10660239500057721
18.5,29.666666666666668,15.791666666666666,6.75,1,0.41575,44.5,21.5,109.3,85.0,43.7,0.5,0.697469839142091,116.79362499999999,96.0,-1.1467279289083003,0,0,0.6964285714285714,1,6.307421223229804,8,10,39.66666666666666,0.5085771430190524
21.0,24.819444444444443,15.73611111111111,6.902777777777778,25,0.413,43.0,18.0,89.5,77.5,40.2,0.524,1.0565079365079366,449.20914285714287,76.18376618407356,-2.0063848087847984,0,0,3.4285714285714284,4,3.0365795257486323,12,9,39.333333333333336,0.6175499235964248
22.0,32.958333333333336,17.291666666666668,6.916666666666667,12,0.438,52.0,15.0,104.1,87.7,40.2,0.5,1.1942462087421946,298.9015714285714,101.0,6.63556584103185,0,0,1.7142857142857142,3,9.217735923989451,5,13,42.5,1.063006162896348
21.0,27.01388888888889,14.26388888888889,6.041666666666667,4,0.442,32.0,21.0,107.3,84.4,44.0,0.585,0.5899449632057386,215.93736778846153,56.5,-2.123709108913817,0,0,1.2980769230769231,1,-1.681259911408172,8,11,40.25,-0.4604899754378652
19.0,23.80555555555556,16.541666666666668,4.319444444444445,2,0.394,45.0,23.0,99.5,80.2,41.0,0.585,0.5384962745540754,85.73279829545454,43.96292478040998,-2.727391775869255,1,1,0.5113636363636364,1,-5.442445488332014,9,3,40.25,-0.7529556063439559
25.0,27.819444444444443,16.055555555555557,6.083333333333333,3,0.44,45.0,26.0,101.3,89.1,45.4,0.61,1.2648626091422703,215.19160256410254,92.0,-1.8556786176453426,0,0,1.3365384615384615,1,6.11374281235059,7,10,48.0,0.4722350419844214
23.0,24.34722222222222,17.40277777777778,8.666666666666666,10,0.405,44.0,19.0,96.5,77.0,39.1,0.549,1.517168772270813,134.83077631578945,98.0,3.917502153278602,0,0,0.8289473684210527,2,5.744635159467698,10,8,41.0,0.6079465182781288
23.0,24.819444444444443,15.73611111111111,6.902777777777778,19,0.46,47.0,20.0,89.5,77.5,40.2,0.524,1.0565079365079366,499.01314285714284,65.18376618407356,0.446316359846257,0,1,3.4285714285714284,4,1.5449743773579072,6,8,40.5,0.5905702013986782
25.0,30.26388888888889,15.11111111111111,5.722222222222222,3,0.507,39.0,24.0,102.8,79.8,40.1,0.549,1.102197802197802,127.66298263888889,59.17691453623979,3.3649841801807403,0,0,0.8402777777777777,1,1.3525237819572544,10,5,43.25,0.08936819992043733
19.0,22.13888888888889,15.416666666666666,4.222222222222222,4,0.488,46.0,17.0,101.4,82.1,41.0,0.695,0.9810615711252655,166.1952857142857,36.55634918610404,0.525748374023071,0,0,0.8571428571428571,1,-7.276976623216155,6,3,45.5,-0.628426792446536
18.0,25.08333333333333,15.09722222222222,7.083333333333333,1,0.481,48.5,16.75,98.6,86.4,44.5,0.817,0.3768067226890756,123.99516666666666,41.90990257669732,0.8311267403575084,0,0,0.7083333333333334,1,-6.4146075384787915,5,11,42.333333333333336,-0.7958489132402771
20.0,24.73611111111111,15.90277777777778,6.611111111111111,4,0.422,50.0,20.0,97.8,81.5,42.9,0.5,0.7773363725170955,70.54300568181819,67.86751345948129,-2.655338013283149,0,0,0.4318181818181818,1,-0.5357940544996276,7,14,38.25,-0.37901827232000634
27.0,30.875,16.958333333333332,5.166666666666667,5,0.562,33.0,31.0,105.5,87.4,42.4,0.585,1.181465074473549,132.79189772727275,61.59956426705017,2.5486759985610843,1,0,0.8863636363636364,1,0.9327659305574,8,9,41.0,-0.30207429197324265
21.0,26.55555555555556,16.805555555555557,5.805555555555555,14,0.483,41.0,28.0,105.3,83.4,42.2,0.61,1.102197802197802,147.3497106481481,64.17691453623979,-0.5804195428960953,0,0,0.8402777777777777,3,3.1540677696603305,11,7,43.66666666666666,0.2975342702316637
22.0,33.513888888888886,16.23611111111111,7.291666666666667,10,0.484,55.0,24.0,111.2,86.7,45.4,0.585,1.4289651371089982,279.23113043478264,80.0,4.145146529283823,0,0,1.565217391304348,2,3.1222319471825997,4,10,45.0,0.8356040321878342
25.0,25.47222222222222,13.819444444444445,4.638888888888889,3,0.402,36.0,13.0,114.2,85.2,42.9,0.556,0.8666135708436626,126.62218923611111,102.0,-9.566636082707685,0,0,0.7847222222222222,1,4.736683468950674,16,16,45.25,0.18525070203137464
25.0,24.63888888888889,16.416666666666668,5.708333333333333,2,0.403,38.0,22.0,85.6,80.8,43.8,0.439,0.795505617977528,76.30095436507936,102.0,-2.8897698551070725,0,0,0.4841269841269841,1,5.035684763888705,10,15,41.5,0.3500563902954945
25.0,31.22222222222222,16.458333333333332,6.888888888888889,19,0.461,43.0,16.0,99.9,83.5,41.1,0.549,0.8281604231890316,435.06763636363644,101.0,5.692141639951247,0,0,2.909090909090909,4,8.271891960569713,7,11,44.0,1.053319136470525
25.0,24.27777777777778,16.666666666666668,5.277777777777778,9,0.462,48.0,23.0,104.3,89.4,43.9,0.646,0.6038823529411765,128.34715384615384,49.677398201998145,1.067036094049061,0,0,0.8076923076923077,2,-6.148303438389507,7,9,39.25,-0.5008401312937764
24.0,21.26388888888889,11.09722222222222,5.041666666666667,4,0.464,45.0,18.0,114.3,85.4,41.2,0.653,0.7134659090909091,183.55179487179487,71.0,-1.1288037310815173,0,1,1.1923076923076923,1,-6.167057324093256,5,10,37.66666666666666,-0.27134695712377355
